seed,total_flood_volume [1e6 m3],computation_time[s]
0,142.89,21191.4857
1,417.879,41684.0459
2,57.629,13226.7108
3,48.183,12061.1745
4,104.257,15237.0776
5,287.441,42049.0924
6,220.496,20553.1102
7,215.083,11246.9613
8,119.036,11876.6647
9,538.95,460363.918
10,175.292,10645.0376
11,136.96,5953.172
12,213.001,20066.7007
13,116.345,4824.6624
14,325.435,10926.8312
15,332.36,114972.3193
16,247.1,10069.5858
17,89.12,3502.9314
18,152.821,14943.6099
19,220.741,16326.1235
20,334.694,121349.0374
21,331.356,68670.267
22,270.144,17150.2426
23,157.21,20966.3833
24,143.021,9468.372
25,77.215,8562.2879
26,603.995,587517.2162
27,300.7,24700.7368
28,203.959,22911.5986
29,194.638,28946.3528
